Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,11.620000,11.940000,11.620000,11.640000,5.253211,0
2007-05-01,11.630000,12.440000,11.630000,12.440000,5.614256,0
2007-06-01,12.520000,12.680000,12.270000,12.530000,5.654874,0
2007-07-01,12.730000,13.180000,12.320000,12.320000,5.560099,0
2007-08-01,12.440000,13.110000,11.990000,12.770000,5.763187,0
2007-09-01,12.940000,13.490000,12.620000,13.430000,6.061050,0
2007-10-01,13.590000,14.360000,13.530000,14.360000,6.480764,0
2007-11-01,14.020000,14.190000,13.040000,13.540000,6.110693,0
2007-12-01,13.380000,13.810000,10.690000,11.250000,5.077201,0
2008-01-01,11.120000,11.120000,9.960000,10.410000,5.739956,0
2008-02-01,10.530000,10.530000,10.110000,10.130000,5.585568,0
2008-03-01,10.120000,10.460000,9.770000,10.200000,5.624164,0
2008-04-01,10.400000,10.920000,10.360000,10.720000,5.910887,0
2008-05-01,10.830000,11.190000,10.830000,11.090000,6.114902,0
2008-06-01,11.010000,11.190000,10.440000,10.440000,5.756498,0
2008-07-01,10.420000,10.420000,9.900000,10.010000,5.519401,0
2008-08-01,9.960000,10.300000,9.840000,10.180000,5.613137,0
2008-09-01,10.130000,10.130000,8.890000,9.180000,5.061748,0
2008-10-01,9.040000,9.040000,6.510000,7.560000,4.168499,0
2008-11-01,7.560000,7.790000,6.040000,6.960000,3.837665,0
2008-12-01,6.390000,7.170000,6.160000,6.650000,3.666735,0
2009-01-01,6.820000,6.970000,6.280000,6.420000,3.982613,0
2009-02-01,6.450000,6.780000,6.080000,6.100000,3.784103,0
2009-03-01,5.770000,6.910000,5.760000,6.760000,4.193531,0
2009-04-01,6.820000,7.300000,6.820000,7.280000,4.516110,0
2009-05-01,7.330000,7.630000,7.190000,7.630000,4.733230,0
2009-06-01,7.850000,8.050000,7.540000,7.760000,4.813876,0
2009-07-01,7.820000,8.350000,7.450000,8.350000,5.179879,0
2009-08-01,8.440000,8.610000,8.170000,8.530000,5.291541,0
2009-09-01,8.390000,9.000000,8.380000,8.830000,5.477644,0
2009-10-01,8.560000,9.160000,8.500000,8.500000,5.272930,0
2009-11-01,8.520000,9.060000,8.520000,8.820000,5.471441,0
2009-12-01,9.030000,9.520000,9.030000,9.450000,5.862258,0
2010-01-01,9.630000,9.690000,8.900000,8.900000,5.545417,0
2010-02-01,9.050000,9.150000,8.720000,8.990000,5.601494,0
2010-03-01,9.160000,9.750000,9.160000,9.590000,5.975342,0
2010-04-01,9.610000,10.130000,9.610000,9.870000,6.149805,0
2010-05-01,10.050000,10.050000,8.870000,9.130000,5.688725,0
2010-06-01,8.920000,9.380000,8.560000,8.560000,5.333570,0
2010-07-01,8.580000,9.420000,8.540000,9.340000,5.819572,0
2010-08-01,9.480000,9.610000,8.770000,8.770000,5.464417,0
2010-09-01,9.070000,9.690000,9.070000,9.660000,6.018958,0
2010-10-01,9.670000,10.120000,9.560000,10.050000,6.261960,0
2010-11-01,10.010000,10.280000,9.820000,10.010000,6.237037,0
2010-12-01,10.250000,10.550000,10.250000,10.390000,6.473807,0
2011-01-01,10.550000,11.020000,10.550000,10.750000,6.834152,0
2011-02-01,11.050000,11.540000,11.020000,11.220000,7.132947,0
2011-03-01,11.050000,11.530000,10.880000,11.520000,7.323668,0
2011-04-01,11.540000,11.670000,11.060000,11.670000,7.419027,0
2011-05-01,11.640000,11.640000,11.050000,11.470000,7.291880,0
2011-06-01,11.290000,11.310000,10.420000,11.060000,7.031229,0
2011-07-01,11.220000,11.340000,10.900000,10.950000,6.961298,0
2011-08-01,10.920000,10.920000,9.200000,10.260000,6.522641,0
2011-09-01,10.110000,10.390000,9.230000,9.230000,5.867833,0
