Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,78.169998,81.650002,78.160004,80.889999,46.252018,0
2007-05-01,81.160004,83.760002,81.160004,83.760002,47.893063,0
2007-06-01,84.300003,84.339996,81.760002,82.989998,47.452770,0
2007-07-01,83.900002,85.330002,80.000000,80.099998,46.024021,0
2007-08-01,80.970001,82.919998,78.580002,82.309998,47.293846,0
2007-09-01,82.750000,84.839996,81.000000,84.389999,48.488979,0
2007-10-01,85.699997,86.050003,80.900002,83.019997,47.701805,0
2007-11-01,80.919998,81.889999,77.419998,81.629997,46.903149,0
2007-12-01,80.989998,83.639999,76.300003,76.300003,43.840614,0
2008-01-01,75.059998,75.059998,68.680000,73.330002,44.419655,0
2008-02-01,74.779999,74.809998,71.580002,71.919998,43.565544,0
2008-03-01,72.110001,73.400002,68.669998,71.419998,43.262676,0
2008-04-01,73.750000,74.269997,70.790001,73.650002,44.613491,0
2008-05-01,74.959999,75.360001,72.919998,74.720001,45.261646,0
2008-06-01,73.830002,74.709999,66.879997,66.879997,40.512566,0
2008-07-01,67.050003,70.709999,64.900002,69.589996,42.404202,0
2008-08-01,69.360001,73.389999,69.139999,72.040001,43.897106,0
2008-09-01,72.690002,74.980003,67.150002,69.730003,42.489517,0
2008-10-01,69.269997,69.269997,52.369999,58.590000,35.701431,0
2008-11-01,58.950001,60.650002,45.580002,54.209999,33.032505,0
2008-12-01,49.080002,54.230000,49.080002,52.509998,31.996620,0
2009-01-01,53.820000,53.880001,46.910000,47.709999,30.050150,0
2009-02-01,47.439999,49.779999,41.750000,41.750000,26.296246,0
2009-03-01,39.689999,46.830002,37.720001,44.990002,28.336966,0
2009-04-01,45.779999,51.580002,45.779999,51.580002,32.487682,0
2009-05-01,51.380001,55.070000,51.380001,52.799999,33.256088,0
2009-06-01,54.430000,54.599998,51.099998,52.509998,33.073437,0
2009-07-01,52.860001,56.830002,50.349998,56.830002,36.101147,0
2009-08-01,57.759998,59.490002,56.380001,59.049999,37.511395,0
2009-09-01,57.869999,62.180000,57.480000,60.400002,38.368977,0
2009-10-01,58.849998,62.470001,58.369999,58.660000,37.263645,0
2009-11-01,59.049999,62.869999,59.049999,62.000000,39.385368,0
2009-12-01,62.669998,64.669998,62.189999,63.119999,40.096851,0
2010-01-01,64.120003,66.099998,62.189999,62.189999,39.925884,0
2010-02-01,62.779999,64.230003,60.770000,63.849998,40.991604,0
2010-03-01,64.519997,68.489998,64.519997,68.129997,43.739353,0
2010-04-01,68.690002,71.800003,68.690002,70.550003,45.292995,0
2010-05-01,71.559998,71.559998,64.080002,65.470001,42.031635,0
2010-06-01,64.339996,66.459999,61.570000,61.570000,39.527836,0
2010-07-01,61.259998,66.419998,61.080002,65.309998,42.059906,0
2010-08-01,66.430000,66.540001,61.139999,61.139999,39.374413,0
2010-09-01,63.000000,66.980003,63.000000,66.820000,43.032352,0
2010-10-01,67.150002,69.050003,66.400002,67.769997,43.644161,0
2010-11-01,67.730003,70.120003,67.730003,69.080002,44.487797,0
2010-12-01,70.449997,74.089996,70.449997,72.160004,46.471344,0
2011-01-01,72.730003,73.849998,71.480003,73.169998,48.077209,0
2011-02-01,74.089996,76.680000,73.720001,75.410004,49.549030,0
2011-03-01,74.150002,75.930000,72.010002,75.930000,49.890705,0
2011-04-01,76.300003,78.139999,74.559998,78.139999,51.342815,0
2011-05-01,78.099998,78.099998,75.550003,77.250000,50.758030,0
2011-06-01,75.430000,75.870003,73.019997,75.870003,49.851280,0
2011-07-01,77.080002,77.830002,71.410004,71.410004,47.203522,0
2011-08-01,70.910004,70.910004,62.180000,68.790001,45.471634,0
2011-09-01,67.650002,67.989998,63.000000,63.650002,42.073990,0
2011-10-01,61.459999,72.529999,61.459999,70.349998,46.502831,0
2011-11-01,68.209999,72.379997,66.769997,71.980003,47.580303,0
2011-12-01,71.519997,72.519997,69.269997,70.779999,46.787064,0
2012-01-01,71.730003,75.639999,71.730003,75.400002,50.899746,0
2012-02-01,76.529999,78.080002,76.430000,77.650002,52.418636,0
2012-03-01,77.830002,81.389999,75.930000,81.389999,54.943367,0
2012-04-01,81.709999,81.709999,77.769997,80.510002,54.349323,0
2012-05-01,80.580002,80.620003,75.669998,77.029999,52.000095,0
2012-06-01,75.029999,78.699997,74.760002,78.330002,52.877670,0
2012-07-01,78.459999,79.650002,76.820000,78.900002,53.715912,0
2012-08-01,78.389999,81.529999,77.879997,80.870003,55.057102,0
2012-09-01,81.080002,84.300003,80.849998,83.070000,56.554886,0
2012-10-01,83.029999,84.610001,81.790001,82.029999,55.846840,0
2012-11-01,83.660004,84.489998,80.400002,84.489998,57.521637,0
2012-12-01,83.839996,86.279999,82.709999,83.949997,57.153992,0
2013-01-01,85.980003,90.339996,85.980003,89.599998,62.159447,0
