Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,9.540000,10.010000,9.540000,9.860000,5.889693,0
2007-05-01,9.840000,10.370000,9.840000,10.370000,6.194332,0
2007-06-01,10.420000,10.460000,10.100000,10.220000,6.104733,0
2007-07-01,10.340000,10.800000,10.140000,10.240000,6.116680,0
2007-08-01,10.270000,10.510000,9.710000,10.500000,6.271986,0
2007-09-01,10.670000,11.260000,10.410000,11.260000,6.725958,0
2007-10-01,11.450000,12.000000,11.420000,12.000000,7.167983,0
2007-11-01,11.860000,12.070000,11.060000,11.600000,6.929051,0
2007-12-01,11.500000,11.990000,11.270000,11.740000,7.012677,0
2008-01-01,11.640000,11.640000,10.110000,10.400000,6.212252,0
2008-02-01,10.670000,10.670000,10.040000,10.040000,5.997213,0
2008-03-01,10.050000,10.050000,9.340000,9.840000,5.877747,0
2008-04-01,10.130000,10.580000,9.970000,10.480000,6.260039,0
2008-05-01,10.570000,11.050000,10.570000,11.000000,6.570651,0
2008-06-01,10.870000,11.010000,10.220000,10.220000,6.104733,0
2008-07-01,10.230000,10.230000,9.640000,9.790000,5.847880,0
2008-08-01,9.760000,10.040000,9.590000,9.950000,5.943453,0
2008-09-01,9.820000,9.820000,8.070000,8.370000,4.999668,0
2008-10-01,8.270000,8.270000,6.140000,7.070000,4.223136,0
2008-11-01,7.070000,7.340000,5.630000,6.400000,3.822924,0
2008-12-01,5.940000,6.670000,5.940000,6.670000,3.984205,0
2009-01-01,6.860000,6.940000,6.210000,6.390000,3.816951,0
2009-02-01,6.390000,6.810000,6.040000,6.040000,3.607885,0
2009-03-01,5.810000,6.820000,5.680000,6.590000,3.936418,0
2009-04-01,6.670000,7.200000,6.670000,7.200000,4.300790,0
2009-05-01,7.260000,7.880000,7.260000,7.880000,4.706976,0
2009-06-01,8.090000,8.190000,7.720000,8.060000,4.814496,0
2009-07-01,8.090000,8.700000,7.660000,8.700000,5.196788,0
2009-08-01,8.860000,9.150000,8.590000,9.050000,5.405854,0
2009-09-01,8.860000,9.860000,8.830000,9.680000,5.782174,0
2009-10-01,9.360000,10.050000,9.290000,9.290000,5.549214,0
2009-11-01,9.330000,10.190000,9.330000,9.880000,5.901640,0
2009-12-01,10.040000,10.540000,9.990000,10.440000,6.236145,0
2010-01-01,10.690000,10.820000,9.900000,9.900000,5.913586,0
2010-02-01,10.060000,10.370000,9.820000,10.370000,6.194332,0
2010-03-01,10.540000,11.050000,10.540000,11.030000,6.588572,0
2010-04-01,11.090000,11.480000,11.030000,11.030000,6.588572,0
2010-05-01,11.130000,11.130000,9.900000,10.200000,6.092785,0
2010-06-01,10.020000,10.440000,9.560000,9.560000,5.710494,0
2010-07-01,9.530000,10.310000,9.470000,10.180000,6.080839,0
2010-08-01,10.350000,10.390000,9.710000,9.740000,5.818014,0
2010-09-01,10.010000,10.870000,10.010000,10.810000,6.457158,0
2010-10-01,10.820000,11.330000,10.730000,11.330000,6.767772,0
2010-11-01,11.320000,11.760000,11.280000,11.470000,6.851398,0
2010-12-01,11.710000,12.210000,11.710000,12.180000,7.275504,0
2011-01-01,12.320000,12.660000,12.300000,12.520000,7.478597,0
2011-02-01,12.750000,13.170000,12.670000,12.950000,7.735448,0
2011-03-01,12.740000,13.070000,12.260000,13.040000,7.789209,0
2011-04-01,13.120000,13.590000,12.920000,13.590000,8.117743,0
2011-05-01,13.560000,13.560000,12.940000,13.320000,7.956462,0
2011-06-01,13.040000,13.090000,12.330000,13.070000,7.807128,0
2011-07-01,13.280000,13.520000,12.990000,13.050000,7.795182,0
2011-08-01,12.980000,12.980000,11.090000,12.150000,7.257584,0
2011-09-01,12.020000,12.210000,11.030000,11.030000,6.588572,0
2011-10-01,10.700000,12.640000,10.700000,12.350000,7.377050,0
2011-11-01,12.040000,12.560000,11.320000,12.150000,7.257584,0
2011-12-01,12.170000,12.280000,11.640000,11.890000,7.102278,0
2012-01-01,12.090000,12.730000,12.090000,12.720000,7.739013,0
2012-02-01,12.880000,13.490000,12.880000,13.450000,8.183155,0
2012-03-01,13.540000,13.960000,13.130000,13.850000,8.426520,0
2012-04-01,13.970000,13.970000,13.370000,13.760000,8.371764,0
2012-05-01,13.830000,13.830000,12.600000,12.840000,7.812023,0
2012-06-01,12.460000,13.250000,12.460000,13.250000,8.061473,0
2012-07-01,13.280000,13.510000,12.950000,13.450000,8.183155,0
2012-08-01,13.380000,13.970000,13.310000,13.890000,8.450856,0
2012-09-01,13.880000,14.510000,13.860000,14.190000,8.633381,0
2012-10-01,14.210000,14.410000,13.810000,13.830000,8.414352,0
